id,name,region_id
1,Ann,10
2,Aunglan,7
3,Ayadaw,12
4,Bago,2
5,Banmauk,12
6,Bhamo,4
7,Bilin,9
8,Bogale,1
9,Bokpyin,13
10,Budalin,12
11,Buthidaung,10
12,Chauk,7
13,Chaung-U,12
14,Chaungzon,9
15,Daik-U,2
16,Danubyu,1
17,Dawei,13
18,Dedaye,1
19,Demoso,5
20,Einme,1
21,Falam,3
22,Gangaw,7
23,Gwa,10
24,Gyobingauk,2
25,Hainggyikyun,1
26,Hakha,3
27,Hinthada,1
28,Hkamti,12
29,Hlaingbwe,6
30,Hlegu,14
31,Hmawbi,14
32,Homalin,12
33,Hopang,11
34,Hopin,4
35,Hopong,11
36,Hpa-An,6
37,Hpakant,4
38,Hsi Hseng,11
39,Hsipaw,11
40,Htigyaing,12
41,Indaw,12
42,Indaw,11
43,Ingapu,1
44,Kalaw,11
45,Kalay,12
46,Kalewa,12
47,Kamaing,4
48,Kamamaung,6
49,Kamma,7
50,Kanbalu,12
51,Kangyidaut,1
52,Karli,11
53,Katha,12
54,Kawa,2
55,Kawkareik,6
56,Kawlin,12
57,Kawthaung,13
58,Kayan,14
59,Kengtung,11
60,Kengtung,11
61,Khamaukkyi,13
62,Khampat,12
63,Khin-U,12
64,Kholan,11
65,Kunhing,11
66,Kunlon,11
67,Kutkai,11
68,Kyaikkhami,9
69,Kyaiklat,1
70,Kyaikmaraw,9
71,Kyaikto,9
72,Kyainseikgyi,6
73,Kyangin,1
74,Kyaukkyi,2
75,Kyaukme,11
76,Kyaukmyaung,12
77,Kyaukpadaung,8
78,Kyaukpyu,10
79,Kyaukse,8
80,Kyauktaga,2
81,Kyauktan,14
82,Kyauktaw,10
83,Kyaunggon,1
84,Kyeintali,10
85,Kyonpyaw,1
86,Kyunhla,12
87,Kyunsu,13
88,Labutta,1
89,Lai-Hka,11
90,Lamaing,9
91,Langhko,11
92,Lashio,11
93,Laukkai,11
94,Launglon,13
95,Lawksawk,11
96,Letpadan,2
97,Lewe,15
98,Loikaw,5
99,Loilem,11
100,Lweje,4
101,Ma-ubin,1
102,Madaya,8
103,Maei,10
104,Magway,7
105,Mahlaing,8
106,Manaung,10
107,Mandalay,8
108,Mansi,4
109,Matupi,3
110,Maungdaw,10
111,Mawkmai,11
112,Mawlaik,12
113,Mawlamyine,9
114,Mawlamyinegyun,1
115,Meiktila,8
116,Minbu,7
117,Minbya,10
118,Mindat,3
119,Mine Pyin,11
120,Mineye,11
121,Minhla,7
122,"Minhla, Bago",2
123,Mogaung,4
124,Mogok,8
125,Mohnyin,4
126,Momauk,4
127,Momeik,11
128,Mong Hpayak,11
129,Mong Hsat,11
130,Mong Hsu,11
131,Mong Ko,11
132,Mong La,11
133,Mong Nai,11
134,Mong Pan,11
135,Mong Ton,11
136,Mongmao,11
137,Mongyai,11
138,Monyo,2
139,Monywa,12
140,Mottama,9
141,Mrauk U,10
142,Mudon,9
143,Muse,11
144,Myaing,7
145,Myanaung,1
146,Myaung,12
147,Myaungmya,1
148,Myawaddy,6
149,Myebon,10
150,Myeik,13
151,Myingyan,8
152,Myinmu,12
153,Myitkyina,4
154,Myittha,8
155,Myothit,7
156,Namhkan,11
157,Namtu,11
158,Nansang,11
159,Natmauk,7
160,Natogyi,8
161,Nattalin,2
162,Nawnghkio,11
163,Naypyidaw,15
164,Nganzun,8
165,Ngapudaw,1
166,Ngathaingchaung,1
167,Ngathayauk,8
168,Ngwesaung,1
169,Nyaung-U,8
170,Nyaungdon,1
171,Nyaunglebin,2
172,Nyaungshwe,11
173,Okpho,2
174,Oktwin,2
175,Pakokku,7
176,Palauk,13
177,Palaw,13
178,Paletwa,3
179,Pandaung,2
180,Pang Hseng,11
181,Pangkham,11
182,Panglong,11
183,Pantanaw,1
184,Papun,6
185,Pathein,1
186,Pauk,7
187,Paukkhaung,2
188,Pauktaw,10
189,Paung,9
190,Paungde,2
191,Payathonzu,6
192,Pekon,11
193,Pindaya,11
194,Pinlaung,11
195,Pinlebu,12
196,Ponnagyun,10
197,Putao,4
198,Pwintbyu,7
199,Pyapon,1
200,Pyawbwe,8
201,Pyay,2
202,Pyin Oo Lwin,8
203,Pyinmana,15
204,Pyu,2
205,Ramree,10
206,Rathedaung,10
207,Sagaing,12
208,Salin,7
209,Salingyi,12
210,Seikphyu,7
211,Shingbwiyang,4
212,Shwebo,12
213,Shwedaung,2
214,Shwegu,4
215,Shwegyin,2
216,Sidoktaya,7
217,Singu,8
218,Sinpaungwe,7
219,Sintgaing,8
220,Sittwe,10
221,Tachileik,11
222,Tada-U,8
223,Tagaung,8
224,Taikkyi,14
225,Tamoenye,11
226,Tamu,12
227,Tanai,4
228,Tangyan,11
229,Tanintharyi,13
230,Tantabin,2
231,Tatkon,15
232,Taungdwingyi,7
233,Taunggyi,11
234,Taungoo,2
235,Taungtha,8
236,Taungup,10
237,Taze,12
238,Tedim,3
239,Thabaung,1
240,Thabeikkyin,8
241,Than Tlang,3
242,Thanatpin,2
243,Thanbyuzayat,9
244,Thandanggyi,6
245,Thandwe,10
246,Thanlyin,14
247,Tharrawaddy,2
248,Thaton,9
249,Thayet,7
250,Thayetchaung,13
251,Thazi,8
252,Thegon,2
253,Theinni,11
254,Thongwa,14
255,Twante,14
256,Waingmaw,4
257,Wakema,1
258,Waw,2
259,Wetlet,12
260,Wundwin,8
261,Wuntho,12
262,Yamethin,8
263,Yangon,14
264,Ye,9
265,Ye-U,12
266,Yedashe,2
267,Yekyi,1
268,Yenangyaung,7
269,Yesagyo,7
270,Zalun,1
271,Zigon,2
272,Aungpan,11
273,Myit Chay,8
274,Penwegon,2
275,Sinphyukyun,7
276,Thar Ga Ra,13
277,Thar Wut Hti,15
278,Thonse,2
